,Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Substation Latitude,Substation Longitude,Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num,geometry,index_right,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Leng,SHAPE_Area,State
0,100011,NEAH BAY 1,Washington,138,1.01164,139.606,-39.84,48.2414,-124.5778,9.64,2.54,,,0,0,0,1,1,POINT (-1784663.604208617 639181.922895066),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
1,100021,FORKS 1,Washington,138,1.01703,140.349,-37.04,47.6956,-124.1836,15.98,6.04,,,,0,0,1,1,POINT (-1775818.506979843 571899.9333997233),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
2,100031,OCEAN SHORES 1,Washington,138,1.03145,142.34,-34.04,47.04,-124.057,14.39,1.09,,,,0,0,1,1,POINT (-1789001.846084707 498782.8277820401),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
3,100061,LONG BEACH 1 1,Washington,138,1.02559,141.532,-35.82,46.3165,-124.0612,13.44,1.28,,,,0,0,1,1,POINT (-1813512.433409443 421250.3103482986),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
4,100071,LONG BEACH 1 2,Washington,138,1.02564,141.539,-35.81,46.3165,-124.0612,,,,,,0,0,1,1,POINT (-1813512.433409443 421250.3103482986),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
5,100081,OCEAN PARK 1,Washington,138,1.02431,141.355,-34.74,46.4983,-123.9825,,,,,,0,0,1,1,POINT (-1801761.977153223 438978.9151552033),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,
6,100091,OCEAN PARK 2,Washington,138,1.02425,141.346,-34.75,46.4983,-123.9825,16.82,2.59,,,,0,0,1,1,POINT (-1801761.977153223 438978.9151552033),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,
7,100101,HOQUIAM 1,Washington,138,1.02302,141.177,-34.85,47.1743,-123.8474,33.49,15.14,,,,0,0,1,1,POINT (-1769527.459761077 508495.7516330341),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
8,100111,PORT ANGELES 1 1,Washington,138,1.00739,139.019,-40.6,48.0025,-123.762,32.02,8.17,,,,0,0,1,1,POINT (-1735749.196902066 595445.5173189919),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
9,100121,ABERDEEN 1 1,Washington,345,1.03543,357.224,-32.27,47.165,-123.6639,,,,,,0,0,1,1,POINT (-1756727.715929557 503424.5918420518),1,4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",6/20/2019,OTHER,5/15/2020,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.39,1.41938E+12,Washington
